"id","num_scars","num_tattoos","num_other_marks"
"B02350",0,5,0
"B02367",0,0,1
"B02371",0,1,0
"B02374",0,3,0
"B02375",0,0,1
"B02381",0,2,2
"B02385",1,4,0
"B02417",1,0,0
"B02455",1,4,0
"B02457",0,5,0
"B02462",1,1,0
"B02470",0,1,0
"B02479",1,4,0
"B02504",2,2,0
"B02513",3,2,0
"B02520",1,1,0
"B02550",0,4,1
"B02563",0,5,0
"B02570",0,4,0
"B02574",0,1,0
"B02592",0,4,0
"B02594",4,0,0
"B02604",1,0,0
"B02615",1,3,0
"B02616",1,4,0
"B02617",0,3,0
"B02619",1,0,0
"B02622",0,5,0
"B02661",0,5,0
"B02664",0,5,0
"B02669",0,0,1
"B02672",0,5,0
"B02683",0,1,0
"B02704",0,1,0
"B02715",1,2,0
"B02721",0,3,0
"B02730",0,3,0
"B02758",0,3,0
"B02768",0,0,1
"B02783",0,0,1
"B02801",3,0,0
"B02818",0,0,1
"B02831",0,5,0
"B02851",3,0,0
"B02853",0,3,0
"B02861",0,5,0
"B02898",0,3,0
"B02922",0,3,0
"B02941",1,0,0
"B02982",0,5,0
"B02991",0,5,0
"B02995",1,2,0
"B02997",1,2,0
"B03004",0,5,0
"B03005",0,4,0
"B03017",1,3,0
"B03019",0,5,0
"B03023",1,4,0
"B03030",0,3,0
"B03033",4,1,0
"B03040",0,4,0
"B03054",1,0,0
"B03062",0,4,0
"B03066",0,5,0
"B03069",2,3,0
"B03084",3,1,0
"B03101",1,0,0
"B03118",2,0,1
"B03120",0,2,0
"B03141",0,4,0
"B03158",0,1,0
"B03164",1,1,0
"B03174",1,4,0
"B03186",0,4,0
"B03191",0,5,0
"B03208",2,3,0
"B03234",0,4,0
"B03244",1,1,0
"B03254",0,0,1
"B03278",0,5,0
"B03292",0,5,0
"B03296",0,5,0
"B03299",0,0,1
"B03301",0,0,1
"B03303",0,4,0
"B03314",0,2,0
"B03327",0,5,0
"B03335",0,1,0
"B03336",2,0,0
"B03340",0,5,0
"B03363",0,4,0
"B03368",0,4,0
"B03378",0,5,0
"B03381",1,3,0
"B03386",0,3,0
"B03390",0,2,0
"B03392",0,4,1
"B03401",0,3,1
"B03414",1,4,0
"B03436",0,5,0
"B03438",0,3,0
"B03439",1,0,0
"B03459",1,0,0
"B03462",0,2,0
"B03490",0,1,0
"B03495",1,4,0
"B03501",0,3,0
"B03524",0,1,0
"B03536",0,0,1
"B03541",0,3,0
"B03547",1,3,0
"B03557",0,1,0
"B03567",0,5,0
"B03577",2,1,0
"B03593",1,0,0
"B03596",0,5,0
"B03620",1,1,0
"B03627",0,2,0
"B03643",2,3,0
"B03660",0,3,0
"B03674",0,4,0
"B03678",0,5,0
"B03705",0,5,0
"B03708",1,3,0
"B03709",0,3,0
"B03717",1,3,0
"B03738",0,5,0
"B03746",0,5,0
"B03774",1,4,0
"B03777",1,3,0
"B03785",1,2,0
"B03795",1,2,0
"B03803",0,0,1
"B03813",1,2,0
"B03852",0,4,0
"B03855",0,4,0
"B03861",0,3,0
"B03870",2,1,0
"B03871",2,0,0
"B03898",0,3,0
"B03901",1,4,0
"B03903",0,0,1
"B03945",0,4,0
"B03955",1,3,0
"B03958",0,5,0
"B03979",0,5,0
"B03983",0,4,0
"B04025",1,3,0
"B04031",0,1,0
"B04073",0,3,0
"B04085",1,3,0
"B04091",2,3,0
"B04092",0,4,0
"B04093",0,0,1
"B04099",1,0,0
"B04101",0,5,0
"B04111",2,3,0
"B04115",1,3,1
"B04117",0,4,0
"B04130",2,0,0
"B04133",1,4,0
"B04150",0,1,0
"B04161",0,0,1
"B04165",0,4,0
"B04170",0,5,0
"B04174",0,2,0
"B04213",1,4,0
"B04217",1,0,0
"B04223",0,2,0
"B04227",0,0,1
"B04228",0,4,0
"B04239",1,0,0
"B04245",1,2,0
"B04246",1,0,0
"B04248",0,5,0
